Date,Not indexed,Indexed,Impressions
2025-12-04,,,5
2025-12-05,,,0
2025-12-06,,,0
2025-12-07,,,0
2025-12-08,,,1
2025-12-09,,,8
2025-12-10,,,15
2025-12-11,,,15
2025-12-12,,,4
2025-12-13,,,2
2025-12-14,137,127,4
2025-12-15,161,124,6
2025-12-16,161,124,2
2025-12-17,161,124,6
2025-12-18,161,124,28
2025-12-19,161,124,2
2025-12-20,161,124,4
2025-12-21,161,124,4
2025-12-22,161,124,0
2025-12-23,177,118,0
2025-12-24,177,118,9
2025-12-25,177,118,0
2025-12-26,177,118,1
2025-12-27,177,118,0
2025-12-28,177,118,2
2025-12-29,177,118,2
2025-12-30,177,118,1
2025-12-31,177,118,2
2026-01-01,177,118,0
2026-01-02,177,118,1
2026-01-03,180,116,1
2026-01-04,180,116,1
2026-01-05,180,116,0
2026-01-06,184,112,0
2026-01-07,184,112,1
2026-01-08,184,112,1
2026-01-09,184,112,1
2026-01-10,189,107,1
2026-01-11,189,107,1
2026-01-12,189,107,2
2026-01-13,191,106,1
2026-01-14,191,106,3
2026-01-15,191,106,3
2026-01-16,191,106,1
2026-01-17,194,103,1
2026-01-18,194,103,1
2026-01-19,194,103,30
2026-01-20,196,101,1
2026-01-21,196,101,1
2026-01-22,196,101,3
2026-01-23,196,101,2
2026-01-24,200,99,1
2026-01-25,200,99,2
2026-01-26,200,99,3
2026-01-27,205,96,3
2026-01-28,205,96,1
2026-01-29,205,96,2
2026-01-30,205,96,3
2026-01-31,206,95,5
2026-02-01,206,95,1
2026-02-02,206,95,2
2026-02-03,208,93,2
2026-02-04,208,93,2
2026-02-05,208,93,1
2026-02-06,208,93,1
2026-02-07,213,89,1
2026-02-08,213,89,4
2026-02-09,213,89,5
2026-02-10,218,84,1
2026-02-11,218,84,2
2026-02-12,218,84,1
2026-02-13,218,84,2
2026-02-14,222,80,1
2026-02-15,222,80,1
2026-02-16,222,80,1
2026-02-17,1532,321,6
2026-02-18,1532,321,4
2026-02-19,1532,321,0
2026-02-20,1532,321,20
2026-02-21,1534,327,0
2026-02-22,1534,327,0
2026-02-23,1534,327,1