Reason,Source,Validation,Pages
Duplicate without user-selected canonical,Website,Not Started,578
Blocked by robots.txt,Website,Not Started,226
Not found (404),Website,Not Started,119
Alternate page with proper canonical tag,Website,Not Started,38
Excluded by ‘noindex’ tag,Website,Not Started,34
Soft 404,Website,Not Started,4
Page with redirect,Website,Not Started,3
Redirect error,Website,Not Started,1
Crawled - currently not indexed,Google systems,Not Started,6119
Discovered - currently not indexed,Google systems,Not Started,205
"Duplicate, Google chose different canonical than user",Google systems,Not Started,91