Country,Clicks,Impressions,CTR,Position
United States,19,820,2.32%,49
Philippines,1,3,33.33%,4
United Arab Emirates,1,1,100%,15
Canada,0,11,0%,25.18
United Kingdom,0,9,0%,19.89
Brazil,0,8,0%,5
Spain,0,4,0%,8.25
Algeria,0,4,0%,13.5
India,0,3,0%,10.33
Italy,0,3,0%,19
Indonesia,0,3,0%,27.67
Mexico,0,2,0%,5
Macedonia,0,2,0%,5
Malaysia,0,2,0%,6.5
Portugal,0,2,0%,7.5
France,0,2,0%,8.5
Japan,0,2,0%,9
Turkey,0,2,0%,11
Bangladesh,0,2,0%,23
Iraq,0,2,0%,26
South Korea,0,2,0%,26.5
Vietnam,0,2,0%,39
Egypt,0,1,0%,1
Gabon,0,1,0%,2
Argentina,0,1,0%,3
Benin,0,1,0%,3
Serbia,0,1,0%,3
Taiwan,0,1,0%,3
Ukraine,0,1,0%,3
China,0,1,0%,4
Czechia,0,1,0%,4
Ecuador,0,1,0%,4
Iran,0,1,0%,4
Myanmar (Burma),0,1,0%,4
Singapore,0,1,0%,6
Australia,0,1,0%,7
Netherlands,0,1,0%,7
Belgium,0,1,0%,8
Hong Kong,0,1,0%,8
Luxembourg,0,1,0%,8
Germany,0,1,0%,9
Finland,0,1,0%,9
Colombia,0,1,0%,10
Thailand,0,1,0%,10
Romania,0,1,0%,43
Pakistan,0,1,0%,44
Bulgaria,0,1,0%,87